id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation
5097,forestry,"Comprehensive data on sustainable forest management, timber production, wildlife habitat, and carbon sequestration in forestry.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights","What is the total volume of timber sold by each salesperson, sorted by salesperson?","CREATE TABLE salesperson (salesperson_id INT, name TEXT, region TEXT); INSERT INTO salesperson (salesperson_id, name, region) VALUES (1, 'John Doe', 'North'), (2, 'Jane Smith', 'South'); CREATE TABLE timber_sales (sales_id INT, salesperson_id INT, volume REAL, sale_date DATE); INSERT INTO timber_sales (sales_id, salesperson_id, volume, sale_date) VALUES (1, 1, 120, '2021-01-01'), (2, 1, 150, '2021-02-01'), (3, 2, 180, '2021-01-01');","SELECT salesperson_id, name, SUM(volume) as total_volume FROM timber_sales JOIN salesperson ON timber_sales.salesperson_id = salesperson.salesperson_id GROUP BY salesperson_id, name ORDER BY total_volume DESC;","Joins timber_sales and salesperson tables, groups sales by salesperson, calculates total volume sold by each salesperson, and orders the results by total volume in descending order."
5098,defense industry,"Defense contract data, military equipment maintenance, threat intelligence metrics, and veteran employment stats.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",List all the unique equipment types and their corresponding total maintenance frequency from the equipment_maintenance table.,"CREATE TABLE equipment_maintenance (equipment_type VARCHAR(255), maintenance_frequency INT);","SELECT equipment_type, SUM(maintenance_frequency) AS total_maintenance_frequency FROM equipment_maintenance GROUP BY equipment_type;","This query groups the equipment_maintenance table by equipment_type and calculates the sum of maintenance_frequency for each group, then returns the equipment_type and the corresponding total_maintenance_frequency."
5099,marine biology,"Comprehensive data on marine species, oceanography, conservation efforts, and climate change impacts in marine biology.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many marine species are found in the Southern Ocean?,"CREATE TABLE marine_species (name VARCHAR(50), common_name VARCHAR(50), location VARCHAR(50));",SELECT COUNT(*) FROM marine_species WHERE location = 'Southern Ocean';,This query counts the number of marine species found in the Southern Ocean by using the COUNT() function with a WHERE clause.
5100,financial services,"Detailed financial data including investment strategies, risk management, fraud detection, customer analytics, and regulatory compliance.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total trade value and average price for each trader and stock in the trade_history table?,"CREATE TABLE trade_history (id INT, trader_id INT, stock VARCHAR(255), price DECIMAL(5,2), quantity INT, trade_time TIMESTAMP);","SELECT trader_id, stock, SUM(price * quantity) as total_trade_value, AVG(price) as avg_price FROM trade_history GROUP BY trader_id, stock;",This query calculates the total trade value and average price for each trader and stock by grouping the trade_history table by the trader_id and stock columns and summing up the product of price and quantity for each trade and getting the average price for each group.
5101,energy,"Energy market data covering renewable energy sources, energy storage, carbon pricing, and energy efficiency.",window functions,"window functions (e.g., ROW_NUMBER, LEAD, LAG, RANk, NTILE, PERCENT_RANK, etc.) with partitioning and ordering",analytics and reporting,"generating reports, dashboards, and analytical insights",Find the energy efficiency upgrades with the highest cost and their types.,"CREATE TABLE upgrades (id INT, cost FLOAT, type TEXT); INSERT INTO upgrades (id, cost, type) VALUES (1, 500, 'Insulation'), (2, 1000, 'HVAC'), (3, 1500, 'Lighting');","SELECT type, cost FROM (SELECT type, cost, ROW_NUMBER() OVER (ORDER BY cost DESC) as rn FROM upgrades) sub WHERE rn = 1;",The SQL query uses the ROW_NUMBER function to rank the energy efficiency upgrades based on their cost in descending order. It then filters the upgrade with the highest cost by using the subquery and WHERE clause.
5102,defense operations,"Defense data on military innovation, peacekeeping operations, defense diplomacy, and humanitarian assistance.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total spending on humanitarian assistance by the European Union in the last 3 years?,"CREATE SCHEMA if not exists defense; CREATE TABLE if not exists eu_humanitarian_assistance (id INT PRIMARY KEY, year INT, spending INT); INSERT INTO defense.eu_humanitarian_assistance (id, year, spending) VALUES (1, 2019, 1500), (2, 2020, 1800), (3, 2021, 2100);",SELECT SUM(spending) FROM defense.eu_humanitarian_assistance WHERE year BETWEEN 2019 AND 2021;,This SQL query calculates the total spending on humanitarian assistance by the European Union in the last 3 years. It uses the SUM() aggregation function to find the total spending and WHERE clause to filter the result by year.
5103,aquaculture,"Aquatic farming data, fish stock management, ocean health metrics, and sustainable seafood trends.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average water temperature for each fish species in February?,"CREATE TABLE SpeciesWaterTemp (SpeciesID int, Date date, WaterTemp float); INSERT INTO SpeciesWaterTemp (SpeciesID, Date, WaterTemp) VALUES (1, '2022-02-01', 12.8), (1, '2022-02-02', 13.1), (2, '2022-02-01', 14.3), (2, '2022-02-02', 14.7);","SELECT SpeciesName, AVG(WaterTemp) as AvgTemp FROM SpeciesWaterTemp INNER JOIN FishSpecies ON SpeciesWaterTemp.SpeciesID = FishSpecies.SpeciesID WHERE MONTH(Date) = 2 GROUP BY SpeciesName;",This query calculates the average water temperature for each fish species in February. It filters the records where the month of the date is February (2) and performs an inner join between the SpeciesWaterTemp and FishSpecies tables based on the species ID. It then groups the results by species name and calculates the average water temperature for each group.
5104,nonprofit operations,"Donation records, program outcomes, volunteer engagement metrics, budget reports, and community impact assessments.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Delete a program's outcome data,"CREATE TABLE Program_Outcomes (id INT, program_id INT, outcome_type VARCHAR, value INT, outcome_date DATE); INSERT INTO Program_Outcomes (id, program_id, outcome_type, value, outcome_date) VALUES (1, 1001, 'participants', 50, '2021-01-01'), (2, 1002, 'hours_donated', 1000, '2021-01-01');",DELETE FROM Program_Outcomes WHERE program_id = 1002;,This query removes the record with a program_id of 1002 from the Program_Outcomes table.
5105,public transportation,"Extensive data on route planning, fare collection, vehicle maintenance, and accessibility in public transportation.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Find the total fare collected from passengers on 'Green Line' buses,"CREATE TABLE bus_routes (route_name VARCHAR(50), fare FLOAT); INSERT INTO bus_routes (route_name, fare) VALUES ('Green Line', 1.50), ('Red Line', 2.00), ('Blue Line', 1.75);",SELECT SUM(fare) FROM bus_routes WHERE route_name = 'Green Line';,This SQL query calculates the total fare collected from passengers on the 'Green Line' by summing the 'fare' column values where the 'route_name' is 'Green Line'.
5106,real estate,"Real estate data on inclusive housing policies, sustainable urbanism, property co-ownership, and housing affordability.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average property size in inclusive housing areas?,"CREATE TABLE Inclusive_Housing (Property_ID INT, Inclusive VARCHAR(10), Property_Size INT); INSERT INTO Inclusive_Housing (Property_ID, Inclusive, Property_Size) VALUES (1, 'Yes', 900), (2, 'No', 1100), (3, 'Yes', 800), (4, 'No', 1200);",SELECT AVG(Property_Size) FROM Inclusive_Housing WHERE Inclusive = 'Yes';,"The SQL query calculates the average property size in inclusive housing areas by using the AVG function on the Property_Size column, and filtering the data for rows where the Inclusive column is 'Yes'."
5107,rural health,"Detailed records on healthcare access, disease prevalence, and resource allocation in rural health.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average income of farmers in each district in India?,"CREATE TABLE farmers_india (id INT, name VARCHAR(255), district_id INT, age INT, income INT); INSERT INTO farmers_india (id, name, district_id, age, income) VALUES (1, 'Farmer A', 1, 45, 50000); CREATE TABLE districts_india (id INT, name VARCHAR(255), state VARCHAR(255)); INSERT INTO districts_india (id, name, state) VALUES (1, 'District A', 'Maharashtra');","SELECT d.name, AVG(f.income) FROM farmers_india f JOIN districts_india d ON f.district_id = d.id GROUP BY d.name;","The SQL query joins the farmers_india and districts_india tables, and then groups the average income of farmers by district."
5108,marine biology,"Comprehensive data on marine species, oceanography, conservation efforts, and climate change impacts in marine biology.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average sea surface temperature in the Pacific Ocean per year?,"CREATE TABLE Ocean(id INT, region VARCHAR(20), temperature DECIMAL(5,2)); INSERT INTO Ocean(id, region, temperature) VALUES (1, 'Pacific', 20.5), (2, 'Atlantic', 18.3), (3, 'Indian', 23.2);","SELECT AVG(temperature) FROM (SELECT temperature FROM Ocean WHERE region = 'Pacific' GROUP BY temperature, YEAR(STR_TO_DATE(region, '%Y'))) AS PacificAverage;","This query calculates the average sea surface temperature in the Pacific Ocean per year. It first groups the data by temperature and year (assuming the region name contains the year information), then calculates the average temperature for the Pacific Ocean group."
5109,sustainable infrastructure,"Green building data, renewable energy infrastructure projects, carbon offset initiatives, and smart city technology adoption.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Update the end date of carbon offset initiative 'Initiative 1' in Australia to '2025-12-31'.,"CREATE TABLE carbon_offsets (initiative_id INT, initiative_name VARCHAR(255), country VARCHAR(255), start_date DATE, end_date DATE);",UPDATE carbon_offsets SET end_date = '2025-12-31' WHERE initiative_name = 'Initiative 1' AND country = 'Australia';,This SQL query updates the end date of carbon offset initiative 'Initiative 1' in Australia to '2025-12-31' by modifying the end_date value in the carbon_offsets table where the initiative_name is 'Initiative 1' and country is 'Australia'.
5110,beauty industry,"Cosmetics sales data, beauty product ingredient transparency, consumer preferences, and sustainability metrics.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",Which regions have the highest and lowest sustainability metrics for products?,"CREATE TABLE sustainability_metrics (product_id INT, carbon_footprint INT, water_usage INT, waste_generation INT, region VARCHAR(50)); INSERT INTO sustainability_metrics (product_id, carbon_footprint, water_usage, waste_generation, region) VALUES (1, 10, 50, 20, 'Northeast'), (2, 15, 60, 30, 'Southwest'), (3, 8, 40, 15, 'Midwest'); CREATE TABLE products (product_id INT, product_name VARCHAR(50)); INSERT INTO products (product_id, product_name) VALUES (1, 'Lipstick'), (2, 'Eyeshadow'), (3, 'Blush');","SELECT region, MAX(sustainability_metrics.carbon_footprint) as max_carbon_footprint, MAX(sustainability_metrics.water_usage) as max_water_usage, MAX(sustainability_metrics.waste_generation) as max_waste_generation FROM sustainability_metrics JOIN products ON sustainability_metrics.product_id = products.product_id GROUP BY region;","Retrieve the regions with the highest and lowest sustainability metrics for products by joining the sustainability_metrics table with the products table, grouping by the region column, and applying the MAX function to the carbon_footprint, water_usage, and waste_generation columns."
5111,automotive,"Vehicle safety testing results, autonomous driving research data, electric vehicle adoption statistics, and auto show information.",basic SQL,basic SQL with a simple select statement,data definition,"creating, altering, or dropping tables and other database objects",Remove the 'vehicle_safety_testing' table and its records,"CREATE TABLE vehicle_safety_testing (id INT PRIMARY KEY, vehicle_model VARCHAR(255), test_score FLOAT);",DROP TABLE vehicle_safety_testing;,The DROP TABLE statement is used to remove the 'vehicle_safety_testing' table and all its records.
5112,marine biology,"Comprehensive data on marine species, oceanography, conservation efforts, and climate change impacts in marine biology.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",Show the conservation status of marine mammals and birds by year.,"CREATE TABLE mammals (id INT, name VARCHAR(255), conservation_status VARCHAR(255), year INT); CREATE TABLE birds (id INT, name VARCHAR(255), conservation_status VARCHAR(255), year INT); CREATE VIEW combined AS SELECT 'Mammals' AS animal_group, * FROM mammals UNION ALL SELECT 'Birds', * FROM birds;","SELECT animal_group, conservation_status, year, COUNT(*) FROM combined GROUP BY animal_group, conservation_status, year;","This query uses a view to combine the mammals and birds tables, groups the combined table by the animal_group, conservation_status, and year columns, and calculates the count of records in each group."
5113,defense security,"Detailed records on military technology, intelligence operations, national security, and cybersecurity strategies.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What are the names and types of military bases located in 'California'?,"CREATE TABLE Armed_Forces (base_id INT, base_name VARCHAR(50), base_location VARCHAR(50), base_type VARCHAR(50)); INSERT INTO Armed_Forces (base_id, base_name, base_location, base_type) VALUES (1, 'Fort Bragg', 'North Carolina', 'Army'); INSERT INTO Armed_Forces (base_id, base_name, base_location, base_type) VALUES (2, 'Camp Pendleton', 'California', 'Marines');","SELECT base_name, base_type FROM Armed_Forces WHERE base_location = 'California';","This query filters the 'Armed_Forces' table to show only the records where the base_location is 'California'. It then selects the base_name and base_type columns from these records, showing the names and types of the bases located in 'California'."
5114,arts operations and management,"Data on art collections, cultural event attendance, artist demographics, museum operations, and heritage preservation efforts.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total value of artworks for each artist in the 'artists_valuation' table?,"CREATE TABLE artist (id INT, name VARCHAR(50)); INSERT INTO artist (id, name) VALUES (1, 'Picasso'), (2, 'Warhol'), (3, 'Basquiat'); CREATE TABLE artists_valuation (artist_id INT, valuation INT); INSERT INTO artists_valuation (artist_id, valuation) VALUES (1, 10000000), (1, 12000000), (2, 8000000), (2, 9000000), (3, 11000000);","SELECT a.name, SUM(av.valuation) AS total_valuation FROM artist a JOIN artists_valuation av ON a.id = av.artist_id GROUP BY a.id, a.name;",The query performs a join between the artist table and the artists_valuation table based on the artist_id. The SUM function is then applied to calculate the total valuation for each artist. The results are grouped by the artist name and id.
5115,biotechnology,"Genetic research data, bioprocess engineering information, biotech startup funding, and biosensor technology development.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",List startups that received funding for biosensor development,"CREATE TABLE startups (id INT, name VARCHAR(50), domain VARCHAR(50), location VARCHAR(50)); INSERT INTO startups (id, name, domain, location) VALUES (1, 'SensBiotech', 'Biosensors', 'CA'); INSERT INTO startups (id, name, domain, location) VALUES (2, 'BioSignal', 'Bioinformatics', 'NY'); CREATE TABLE funding (id INT, startup_id INT, amount DECIMAL(10, 2), purpose VARCHAR(50)); INSERT INTO funding (id, startup_id, amount, purpose) VALUES (1, 1, 50000.00, 'Biosensor Development'); INSERT INTO funding (id, startup_id, amount, purpose) VALUES (2, 2, 30000.00, 'Data Analysis');",SELECT s.name FROM startups s JOIN funding f ON s.id = f.startup_id WHERE s.domain = 'Biosensors' AND f.purpose = 'Biosensor Development';,"This query joins the startups and funding tables on startup_id, filtering for Biosensors startups with Biosensor Development funding and returning their names."
5116,defense operations,"Defense data on military innovation, peacekeeping operations, defense diplomacy, and humanitarian assistance.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total amount of humanitarian assistance provided by non-governmental organizations (NGOs) to countries in Africa in the last 5 years?,"CREATE TABLE HumanitarianAssistance (Country VARCHAR(50), Organization VARCHAR(50), Amount INT, Year INT); INSERT INTO HumanitarianAssistance (Country, Organization, Amount, Year) VALUES ('Kenya', 'Doctors Without Borders', 2000000, 2018), ('Nigeria', 'International Rescue Committee', 3000000, 2019), ('South Africa', 'Oxfam', 1500000, 2020), ('Ethiopia', 'Save the Children', 2500000, 2017), ('Sudan', 'Care International', 1800000, 2016);","SELECT SUM(Amount) AS TotalAssistance, Country FROM HumanitarianAssistance WHERE Organization NOT IN ('Government', 'Military') AND Year BETWEEN 2016 AND 2020 GROUP BY Country;",This query calculates the total amount of humanitarian assistance provided by non-governmental organizations (NGOs) to countries in Africa in the last 5 years. It does this by summing the amount column for rows where the organization is not in the list of government and military organizations and the year is between 2016 and 2020. The query also groups the results by country so that the total amount of assistance provided to each country is displayed separately.
5117,automotive,"Vehicle safety testing results, autonomous driving research data, electric vehicle adoption statistics, and auto show information.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total number of autonomous driving research papers published by country in the past year?,"CREATE TABLE ResearchPapers (ID INT, Title VARCHAR(100), PublishedDate DATE, Author VARCHAR(50), Country VARCHAR(50)); INSERT INTO ResearchPapers (ID, Title, PublishedDate, Author, Country) VALUES (1, 'AD Research 1', '2022-01-15', 'A. Smith', 'USA'), (2, 'AD Research 2', '2022-03-20', 'B. Johnson', 'Canada'), (3, 'AD Research 3', '2021-12-12', 'C. Lee', 'South Korea'), (4, 'AD Research 4', '2022-05-08', 'D. Patel', 'India'), (5, 'AD Research 5', '2021-11-01', 'E. Chen', 'China');","SELECT Country, COUNT(*) as Total_Papers FROM ResearchPapers WHERE PublishedDate >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) AND Author LIKE '%autonomous%' GROUP BY Country;","This query filters for autonomous driving research papers published in the past year, groups them by country, and calculates the total number of papers for each country."
5118,cybersecurity,"Threat intelligence data, vulnerability assessments, security incident response metrics, and cybersecurity policy analysis.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights","What are the unique combinations of security incident types and their corresponding statuses in the incident_responses table, excluding any records with 'In Progress' status?","CREATE TABLE incident_responses (incident VARCHAR(50), status VARCHAR(15)); INSERT INTO incident_responses (incident, status) VALUES ('Incident 1', 'Resolved'), ('Incident 2', 'In Progress'), ('Incident 3', 'Resolved'), ('Incident 4', 'In Progress'), ('Incident 5', 'Assessed');","SELECT incident, status FROM incident_responses WHERE status != 'In Progress' GROUP BY incident, status;","This query selects the unique combinations of incident types and statuses, excluding any records with an 'In Progress' status. It groups the result set by both columns, ensuring that only unique combinations are returned."
5119,biotechnology,"Genetic research data, bioprocess engineering information, biotech startup funding, and biosensor technology development.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the maximum number of genetic research projects in Japan per year?,"CREATE SCHEMA if not exists genetic;CREATE TABLE if not exists genetic.projects (id INT PRIMARY KEY, name VARCHAR(100), start_date DATE);INSERT INTO genetic.projects (id, name, start_date) VALUES (1, 'ProjectX', '2018-01-01'), (2, 'ProjectY', '2020-05-15'), (3, 'ProjectZ', '2017-08-08'), (4, 'ProjectW', '2021-03-03'), (5, 'ProjectV', '2020-09-20'), (6, 'ProjectU', '2019-12-31');","SELECT YEAR(start_date) AS year, MAX(COUNT(*)) AS projects_count FROM genetic.projects GROUP BY year;","This SQL query calculates the maximum number of genetic research projects per year in Japan by using the YEAR() function to extract the year from the start_date column, and the COUNT() function to count the number of projects for each year. The query then groups the results by the year using the GROUP BY clause, and uses a subquery with the MAX() function to retrieve the maximum count of projects for each year."
5120,construction,"Building permit data, construction labor statistics, project timeline information, and sustainable building practices.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",How many construction projects were completed each month in 2020 and 2021?,"CREATE TABLE project_timeline (id INT, project VARCHAR(50), start_date DATE, end_date DATE); INSERT INTO project_timeline (id, project, start_date, end_date) VALUES (1, 'Office Building', '2019-12-20', '2021-04-30'), (2, 'Residential Apartments', '2021-03-01', '2022-08-01'), (3, 'School', '2020-06-15', '2021-10-15'), (4, 'Library', '2020-01-01', '2020-06-15'), (5, 'Park', '2021-01-01', '2021-12-31');","SELECT YEAR(start_date) AS year, MONTH(start_date) AS month, COUNT(*) AS projects FROM project_timeline WHERE end_date IS NOT NULL GROUP BY year, month;","The prompt asks for the number of construction projects completed each month in 2020 and 2021. We use the project_timeline table, filter the rows where the end_date is not null (meaning the project was completed), and group the results by year and month."
5121,construction,"Building permit data, construction labor statistics, project timeline information, and sustainable building practices.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average labor cost per worker per week in the 'LaborStatistics' table?,"CREATE TABLE LaborStatistics (workerID INT, laborDate DATE, hourlyRate DECIMAL(10,2), hoursWorked DECIMAL(10,2));",SELECT AVG(hourlyRate * hoursWorked * 5) AS AverageLaborCost FROM LaborStatistics;,"This query calculates the average labor cost per worker per week by multiplying the hourlyRate by hoursWorked and then by 5 (assuming 5 working days in a week), and finally calculating the average value using AVG."
